"Input current [A]","Input voltage [V]","VDD [V]","Vref [V]","Voffs [V]","NTC [Ohm]","dIin [A]","dVin [V]","dVDD [V]","dVref [V]","dVoffs [V]","dNTC [Ohm]"
0.11100000000000003,1.81,1.1259469999999998,0.44630859999999994,0.8270493999999999,7220.372,0.00011100000000000003,0.0018100000000000002,0.00014085808460999745,2.341879586997979e-05,6.139576532628129e-05,0.9684503084825966
0.11600000000000003,1.81,1.125747,0.44627100000000003,0.8269907,7196.562,0.00011600000000000004,0.0018100000000000002,0.00010469479452197418,2.5302173819653504e-05,7.346706745202195e-05,0.9469508962981565
0.12100000000000004,1.81,1.125947,0.44631730000000003,0.8271428000000001,7169.807000000001,0.00012100000000000004,0.0018100000000000002,0.0002715161137022869,3.683761664386675e-05,5.2082242655241204e-05,0.9942238178599165
0.12600000000000003,1.81,1.1258580000000002,0.44635230000000004,0.827115,7148.0,0.00012600000000000003,0.0018100000000000002,0.00012520383380709168,1.9642046736533042e-05,6.603483928957154e-05,1.6970503822809202
0.13100000000000003,1.81,1.125946,0.44638430000000007,0.8271241999999999,7121.717,0.00013100000000000004,0.0018100000000000002,0.00038320229644404636,1.9728405916350596e-05,9.936578888127657e-05,1.0307865928503084
0.13600000000000004,1.81,1.125507,0.44636709999999996,0.8270348000000001,7103.272999999999,0.00013600000000000005,0.0018100000000000002,0.00015264665079853487,2.510955993242265e-05,7.416845690724652e-05,0.6561562313960602
0.14100000000000004,1.81,1.125806,0.44632749999999993,0.827081,7079.211,0.00014100000000000004,0.0018100000000000002,0.00023448667339531475,1.8483776670369852e-05,7.180807754005836e-05,1.4760247287902517
0.14600000000000005,1.81,1.126137,0.44636719999999996,0.8269669000000001,7059.4039999999995,0.00014600000000000005,0.0018100000000000002,0.00021813069476808624,2.293381782432988e-05,6.0729646796259476e-05,1.3257465821187726
0.15100000000000005,1.81,1.126047,0.4463423000000001,0.8270782999999999,7043.856000000002,0.00015100000000000007,0.0018100000000000002,0.00010188719252194028,1.2490396310765703e-05,7.11379645477715e-05,0.604238363562138
0.15600000000000006,1.81,1.12628,0.44642849999999995,0.8269982,7029.729000000001,0.00015600000000000005,0.0018100000000000002,0.0002027313493271073,1.872565085651495e-05,4.281775332735058e-05,0.8792434247692069
0.16100000000000006,1.81,1.125817,0.44635020000000003,0.8271297000000001,7017.494000000001,0.00016100000000000006,0.0018100000000000002,0.00020283244316433776,1.8882796403073483e-05,6.14720261582565e-05,0.46269212225844997
0.16600000000000006,1.81,1.1258000000000001,0.44635559999999996,0.8270464000000001,7001.486999999999,0.00016600000000000008,0.0018100000000000002,0.00015754364474645577,3.3206023549951106e-05,6.418130568942625e-05,0.5180936208834345
